chiname,chifullname,engname,chicapital,continent,gdp,area,population,nobel,longevity,gun,murder
賴索托,賴索托王國,Lesotho,馬賽魯,africa,7.448,30355,2007201,0,53.7,4.8,41.25
賴比瑞亞,賴比瑞亞共和國,Liberia,蒙羅維亞,africa,3.906,111369,4475353,2,61.4,2.1,3.23
利比亞,利比亞國,Libya,的黎波里,africa,63.14,1759540,6777452,0,72.7,13.3,2.5
列支敦斯登,列支敦斯登公國,Liechtenstein,瓦杜茲,europe,4.978,160,38380,0,,28.8,0
立陶宛,立陶宛共和國,Lithuania,維爾紐斯,europe,90.63,65300,2791903,1,73.6,13.6,4.5
盧森堡,盧森堡大公國,Luxembourg,盧森堡市,europe,64.39,2586,613894,2,82,18.9,0.3
馬達加斯加,馬達加斯加共和國,Madagascar,安塔那那利佛,africa,39.81,587041,25263000,0,65.5,0.7,7.69
馬拉威,馬拉威共和國,Malawi,里朗威,africa,22.47,118484,17563749,0,58.3,0.3,1.73
馬來西亞,馬來西亞聯邦,Malaysia,吉隆坡,asia,926.1,330803,32816700,0,75,0.7,2.11
馬爾地夫,馬爾地夫共和國,Maldives,馬利,asia,6.896,300,378114,0,78.5,6.2,0.75
馬利,馬利共和國,Mali,巴馬科,africa,40.98,1240192,19973000,0,58.2,1.1,10.9
馬爾他,馬爾他共和國,Malta,瓦勒他,europe,18.53,316,493559,0,81.7,28.3,0.94
馬紹爾群島,馬紹爾群島共和國,Marshall Islands,馬久羅,oceania,0.189,181,55500,0,,0.5,
茅利塔尼亞,茅利塔尼亞伊斯蘭共和國,Mauritania,諾克少,africa,17.37,1030700,4077347,0,63.1,2.8,9.94
模里西斯,模里西斯共和國,Mauritius,路易士港,africa,27.44,2040,1265577,0,74.6,8.3,1.82
摩爾多瓦,摩爾多瓦共和國,Moldova,基希訥烏,europe,20.07,33846,2681735,0,72.1,3,3.19
摩納哥,摩納哥公國,Monaco,摩納哥,europe,7.672,2.02,38300,0,,19.6,0
蒙古,蒙古國,Mongolia,烏蘭巴托,asia,38.4,1564110,3269616,0,68.8,7.9,6.2
蒙特內哥羅,蒙特內哥羅,Montenegro,波德里查,europe,10.86,13812,622359,0,76.1,39.1,2.4
摩洛哥,摩洛哥王國,Morocco,拉巴特,africa,300.1,446550,35089900,1,74.3,4.8,2.1
莫三比克,莫三比克共和國,Mozambique,馬布多,africa,37.39,801590,27909798,0,57.6,4.5,3.4
緬甸,緬甸聯邦共和國,Myanmar,奈比多,asia,330.9,676578,54339766,1,66.6,1.6,2.27
納米比亞,納米比亞共和國,Namibia,溫荷克,africa,27.02,825615,2458936,0,65.8,15.4,17.14
諾魯,諾魯共和國,Nauru,雅連,oceania,0.159,21,11000,0,,0,0
尼泊爾,尼泊爾聯邦民主共和國,Nepal,加德滿都,asia,78.55,147181,29609623,0,69.2,1.5,2.16
荷蘭,荷蘭王國,Netherlands,阿姆斯特丹,europe,915.2,41850,17334300,20,81.9,2.6,0.8
紐西蘭,紐西蘭,New Zealand,威靈頓,oceania,185.7,270467,4974030,3,81.6,26.3,0.7
尼加拉瓜,尼加拉瓜共和國,Nicaragua,馬納瓜,north_america,36.22,130373,6460411,0,74.8,5.2,7.37
尼日,尼日共和國,Niger,尼阿美,africa,21.62,1267000,22314743,0,61.8,0.5,4.44
奈及利亞,奈及利亞聯邦共和國,Nigeria,阿布加,africa,1118,923768,200963599,1,54.5,3.2,9.85
朝鮮,朝鮮民主主義人民共和國,North Korea,平壤,asia,,120540,25450000,0,70.6,0.3,4.4
北賽普勒斯,北賽普勒斯土耳其共和國,Northern Cyprus,尼柯西亞,asia,,3355,351965,0,,17.4,
北馬其頓,北馬其頓共和國[3] [4],North Macedonia,,,31.55,25713,2075301,1,,29.8,1.5
挪威,挪威王國,Norway,奧斯陸,europe,375.9,323802,5334762,13,81.8,28.8,0.5
阿曼,阿曼蘇丹國,Oman,馬斯喀特,asia,187.9,309500,4614107,0,76.6,16.7,0.5
巴基斯坦,巴基斯坦伊斯蘭共和國,Pakistan,伊斯蘭瑪巴德,asia,1056,881912,205469000,2,66.4,22.3,4.2
帛琉,帛琉共和國,Palau,恩吉魯穆德,oceania,0.301,459,17900,0,,0.5,3.11
巴勒斯坦,巴勒斯坦國,Palestine,耶路撒冷,asia,,6020,4976684,1,,1.1,0.69
巴拿馬,巴拿馬共和國,Panama,巴拿馬城,north_america,99.43,75417,4218808,0,77.8,10.8,9.7
巴布亞紐幾內亞,巴布亞紐幾內亞獨立國,Papua New Guinea,莫爾茲比港,oceania,30.84,462840,8558800,0,62.9,1,7.85
巴拉圭,巴拉圭共和國,Paraguay,亞松森,south_america,68.05,406752,7152703,0,74,16.7,9.29
秘魯,秘魯共和國,Peru,利馬,south_america,424.6,1285216,32495510,1,75.5,2,7.7
菲律賓,菲律賓共和國,Philippines,馬尼拉,asia,874.5,300000,107992000,0,68.5,3.6,8.4
波蘭,波蘭共和國,Poland,華沙,europe,1111,312696,38413000,12,77.5,2.5,0.8
葡萄牙,葡萄牙共和國,Portugal,里斯本,europe,311.3,92090,10276617,2,81.1,21.3,0.7
卡達,卡達國,Qatar,杜哈,asia,341.7,11586,2638657,0,78.2,16.7,0.38
羅馬尼亞,羅馬尼亞,Romania,布加勒斯特,europe,474,238397,19523621,4,75,2.6,1.5
